ASVid	its-01_F_filt.fastq.gz	its-10_F_filt.fastq.gz	its-11_F_filt.fastq.gz	its-12_F_filt.fastq.gz	its-13_F_filt.fastq.gz	its-14_F_filt.fastq.gz	its-15_F_filt.fastq.gz	its-16_F_filt.fastq.gz	its-17_F_filt.fastq.gz	its-18_F_filt.fastq.gz	its-19_F_filt.fastq.gz	its-02_F_filt.fastq.gz	its-20_F_filt.fastq.gz	its-21_F_filt.fastq.gz	its-22_F_filt.fastq.gz	its-23_F_filt.fastq.gz	its-24_F_filt.fastq.gz	its-25_F_filt.fastq.gz	its-26_F_filt.fastq.gz	its-27_F_filt.fastq.gz	its-28_F_filt.fastq.gz	its-29_F_filt.fastq.gz	its-03_F_filt.fastq.gz	its-30_F_filt.fastq.gz	its-31_F_filt.fastq.gz	its-32_F_filt.fastq.gz	its-33_F_filt.fastq.gz	its-34_F_filt.fastq.gz	its-35_F_filt.fastq.gz	its-36_F_filt.fastq.gz	its-37_F_filt.fastq.gz	its-38_F_filt.fastq.gz	its-39_F_filt.fastq.gz	its-04_F_filt.fastq.gz	its-40_F_filt.fastq.gz	its-41_F_filt.fastq.gz	its-42_F_filt.fastq.gz	its-43_F_filt.fastq.gz	its-44_F_filt.fastq.gz	its-45_F_filt.fastq.gz	its-46_F_filt.fastq.gz	its-47_F_filt.fastq.gz	its-48_F_filt.fastq.gz	its-05_F_filt.fastq.gz	its-06_F_filt.fastq.gz	its-07_F_filt.fastq.gz	its-08_F_filt.fastq.gz	its-09_F_filt.fastq.gz	its-negC_F_filt.fastq.gz	its-posC_F_filt.fastq.gz	ASVid	similarity	query_length	taxonomy
8477293711ae769ad34a86f51ba4611b	675	399	613	98	363	756	669	323	0	0	71	4039	0	0	176	0	0	9	0	61	0	2	4871	0	0	0	0	0	0	0	0	0	0	3829	0	0	0	0	0	0	0	0	0	2403	4815	4757	5310	375	0	0	8477293711ae769ad34a86f51ba4611b	99.512	205	"Botryotrichum_atrogriseum|KX976589|SH0881584.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Botryotrichum;s__Botryotrichum_atrogriseum"
3baaa1a55f67a004e5bdf88baecff544	43	2543	2815	3239	1818	1386	1921	1386	0	0	8	129	0	39	0	0	0	1301	198	1089	404	0	146	925	11542	0	0	51	0	0	0	68	78	104	342	0	0	0	0	0	0	0	0	116	360	196	254	1523	0	0	3baaa1a55f67a004e5bdf88baecff544	100	178	"Fungi_sp|JX340660|SH1000536.09FU|reps|k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp"
71edb77469cd038fef00ecaaca51e735	54	5399	4636	3469	3901	2168	1961	1683	0	30	10	105	9	4	6	0	11	836	439	2365	398	375	142	129	190	287	0	0	0	15	0	151	0	114	456	4	0	0	0	0	0	0	0	72	157	167	139	2522	0	0	71edb77469cd038fef00ecaaca51e735	99.507	203	"Aspergillus_versicolor|MW391739|SH1088125.09FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_versicolor"
8195a1f70c2870317c4f91b532478d33	126	0	0	0	10	0	0	31	457	242	226	148	234	3623	562	2141	1361	1557	2181	4953	169	540	323	6923	707	596	9	8	0	13	20	38	0	293	30	4	14	9	0	0	0	0	0	341	438	285	361	37	0	0	8195a1f70c2870317c4f91b532478d33	99.505	202	"Penicillium_sp|UDB04224588|SH1294051.09FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp"
8a3eaa5f957eb0704cb2ad7d4c583e10	224	2128	2164	2260	2103	1553	2179	1126	19	884	36	635	256	82	105	149	89	273	250	498	92	0	524	61	205	0	0	0	0	33	0	66	0	538	101	2409	2127	0	0	0	0	0	0	344	937	636	1063	1075	0	0	8a3eaa5f957eb0704cb2ad7d4c583e10	100	175	"Gibellulopsis_nigrescens|EF543857|SH2495520.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;s__Gibellulopsis_nigrescens"
d89ae137d8f7904370bce103b7b29b35	163	10385	1585	1740	2428	981	851	1297	0	0	0	307	10	0	16	70	49	389	145	206	120	0	196	78	68	7	26	36	24	51	53	1218	38	249	485	0	0	0	0	10	0	0	0	153	525	278	527	1670	0	0	d89ae137d8f7904370bce103b7b29b35	100	176	"Acrostalagmus_luteoalbus|AJ292420|SH0941164.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Acrostalagmus;s__Acrostalagmus_luteoalbus"
9ff05adde11ddc8a435edacab1d33ccc	1408	0	0	0	0	0	0	0	66	108	0	2283	138	0	223	185	0	0	0	0	0	0	3345	0	31	0	0	0	0	0	0	0	0	2906	0	24	24	0	0	0	0	0	0	1949	4041	4209	5433	0	0	0	9ff05adde11ddc8a435edacab1d33ccc	98.537	205	"Botryotrichum_atrogriseum|KX976589|SH0881584.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Botryotrichum;s__Botryotrichum_atrogriseum"
8dd714098656cb192fd1e432f59a7cd1	110	42	55	63	0	0	0	0	0	9439	0	141	89	0	0	62	0	0	0	0	0	0	202	0	178	0	743	6298	216	494	0	1212	0	147	0	1608	1301	1303	128	213	0	979	272	123	434	165	287	0	0	0	8dd714098656cb192fd1e432f59a7cd1	100	168	"Plectosphaerella_ramiseptata|LR026832|SH3177511.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_ramiseptata"
d423ac2aa4e440c0eedff454063c9ae7	6	2144	4607	5977	1673	1552	1164	1758	0	0	0	0	0	0	20	19	0	1890	614	525	1353	0	3	84	313	73	7	0	0	23	4	103	0	55	599	0	0	0	0	0	0	0	0	0	0	19	0	1349	0	0	d423ac2aa4e440c0eedff454063c9ae7	98.81	168	"Brunneomyces_brunnescens|LN810520|SH0909374.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Brunneomyces;s__Brunneomyces_brunnescens"
4db6a4d269192ae9aeafd9db5f2a4fb3	0	0	0	0	64	51	109	53	2079	4323	2916	0	6351	2543	2439	1018	2889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4db6a4d269192ae9aeafd9db5f2a4fb3	100	190	"Cladosporium_sphaerospermum|DQ780343|SH4358594.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum"
e60516db097ae5dfe23434c7f59fed9d	2657	0	0	0	0	0	0	0	119	17	15	2795	130	0	0	216	31	135	0	0	0	0	2241	0	0	0	0	0	0	0	0	0	0	2873	0	0	0	0	0	0	0	0	0	1637	4811	3321	3747	0	0	0	e60516db097ae5dfe23434c7f59fed9d	98.919	185	"Linnemannia_gamsii|HQ630340|SH2972051.09FU|refs|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_gamsii"
a39ba8b94eacb850e45f52b3b063a462	483	2709	2769	2818	1772	1342	2792	1285	418	9	7	644	33	0	14	78	3	949	345	287	143	22	400	556	70	17	2	6	3	25	0	5	0	483	57	0	0	0	8	0	0	0	0	374	1030	665	617	1416	0	0	a39ba8b94eacb850e45f52b3b063a462	100	194	"Solicoccozyma_aeria|AF145324|SH1334237.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria"
dc51e63c691abe084ba2d8dea0861071	38	0	0	0	0	0	0	0	11	0	0	303	10	0	0	0	12	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	91	0	6768	6598	26	252	25	0	270	8119	92	768	91	342	0	0	0	dc51e63c691abe084ba2d8dea0861071	98.291	234	"Scutellinia_sp|UDB06704598|SH0937164.09FU|reps|k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Scutellinia;s__Scutellinia_sp"
5a6270661dbcdcb3776a66d5187a7fdd	0	0	0	0	0	0	0	0	0	191	0	0	116	0	26	13	0	16883	0	24	12	0	0	0	6106	0	0	0	0	0	4	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5a6270661dbcdcb3776a66d5187a7fdd	98.718	156	"Carlosrosaea_foliicola|MK050282|SH1104384.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Carlosrosaea;s__Carlosrosaea_foliicola"
4fd7598be37bf392d9f8c1c9152c07db	1182	0	0	0	0	0	0	0	212	28	72	1670	22	0	44	119	33	0	0	0	0	0	2579	0	0	0	0	0	0	0	0	0	0	2302	0	0	0	0	0	0	0	0	0	1016	4599	3633	4967	11	0	0	4fd7598be37bf392d9f8c1c9152c07db	99.468	188	"Bionectriaceae_sp|UDB01521219|SH1077211.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Bionectriaceae_gen_Incertae_sedis;s__Bionectriaceae_sp"
28292a0985dd9fcb6abf1f34e25dfef5	5527	0	0	0	0	0	0	147	26	19	10	0	2	0	0	123	31	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	1947	88	6	16	0	4	0	0	23	0	12553	827	0	0	27	0	0	28292a0985dd9fcb6abf1f34e25dfef5	85.859	198	"Chytridiomycetes_sp|UDB038297|SH1133438.09FU|reps|k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiomycetes_ord_Incertae_sedis;f__Chytridiomycetes_fam_Incertae_sedis;g__Chytridiomycetes_gen_Incertae_sedis;s__Chytridiomycetes_sp"
d7d0f7d863512fdaa48a2ff66a8e21e8	1415	0	0	0	0	0	0	0	0	0	55	2278	0	0	0	0	0	0	0	0	133	0	2284	115	0	0	0	0	0	0	0	0	0	2231	0	0	0	0	0	0	0	0	0	954	2967	2824	2995	0	0	0	d7d0f7d863512fdaa48a2ff66a8e21e8	98.286	175	"Mortierella_sp|UDB04703371|SH0894906.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
a25e162917132b17a2e85578d39b1a45	2452	0	47	55	76	54	34	49	31	15	31	3060	32	0	0	65	76	0	40	0	0	0	1370	0	0	0	0	0	0	0	0	0	0	1507	0	0	0	0	0	0	0	0	0	1076	3704	2690	1633	43	0	0	a25e162917132b17a2e85578d39b1a45	100	147	"Apiotrichum_dulcitum|AF444428|SH3229235.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__Apiotrichum_dulcitum"
7dc1b37393580ddf93cc3cfba10fc781	0	0	0	0	0	0	94	0	4859	456	6590	0	2507	221	1585	677	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7dc1b37393580ddf93cc3cfba10fc781	100	187	"Acremonium_sclerotigenum|AJ621772|SH1291669.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_sclerotigenum"
97b3e003e94cdf6794ed34cee2eee66e	303	1912	1341	1434	1270	770	527	587	29	119	0	876	0	0	111	68	19	187	363	234	106	0	521	39	966	0	0	0	0	0	14	47	0	477	202	0	0	0	0	9	0	0	0	218	492	682	1670	876	0	0	97b3e003e94cdf6794ed34cee2eee66e	100	171	"Chordomyces_antarcticus|KJ443241|SH1451459.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Chordomyces;s__Chordomyces_antarcticus"
298eeb88f720911f4d0c4470e2bf1ed5	74	3010	1642	2269	1295	782	1463	759	0	0	0	194	0	0	13	11	0	1121	63	154	330	50	119	0	200	142	45	0	0	0	0	0	0	286	75	0	0	0	0	0	0	0	0	96	418	219	262	1217	0	0	298eeb88f720911f4d0c4470e2bf1ed5	99.435	177	"Fungi_sp|JX349978|SH1000543.09FU|reps|k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp"
85ece1aca5ebb7b2287b4daf5748930e	0	1751	2539	2815	1845	1571	1146	982	0	12	0	0	0	0	0	56	0	1001	316	416	0	10	0	0	17	24	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	1336	0	0	85ece1aca5ebb7b2287b4daf5748930e	97.74	177	"Mortierella_sp|UDB04917145|SH0895021.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
0214f77c97b534f865dc5e077d8167dd	540	0	0	0	0	0	9	0	14	36	0	1085	0	0	0	0	0	0	0	0	0	0	3084	0	0	0	0	0	0	0	0	0	0	867	0	0	0	0	0	0	0	0	0	553	5418	2886	1301	0	0	0	0214f77c97b534f865dc5e077d8167dd	96.923	195	"Sordariales_sp|HG328105|SH1160574.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Sordariales_gen_Incertae_sedis;s__Sordariales_sp"
739b85470a064df6695453f886146d77	281	0	0	0	0	0	0	0	20	44	21	458	30	2	24	55	22	0	0	0	0	0	711	0	0	0	0	0	0	0	0	0	0	9354	0	0	0	0	0	0	0	0	0	530	1078	1114	888	0	0	0	739b85470a064df6695453f886146d77	100	255	"Arthroderma_chiloniense|LR136986|SH1330386.09FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arthrodermataceae;g__Arthroderma;s__Arthroderma_chiloniense"
cf5312980867f908f9a9db554a01c7e2	0	2812	1846	2067	1185	1125	777	965	0	0	0	11	0	0	0	0	22	443	145	190	262	123	18	148	79	17	15	0	11	34	16	294	19	24	789	0	0	0	0	0	0	0	0	8	40	15	33	918	0	0	cf5312980867f908f9a9db554a01c7e2	99.448	181	"Sordariomycetes_sp|UDB07567324|SH0929113.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp"
bfd341e04e6fa5f74af047c8e7b8999a	0	1485	2092	2012	1625	1535	426	880	0	0	0	8	15	0	0	0	88	574	561	287	138	39	0	51	87	12	0	22	9	24	12	157	29	4	879	0	0	0	0	0	0	0	0	5	6	11	0	1100	0	0	bfd341e04e6fa5f74af047c8e7b8999a	99.429	175	"Sordariomycetes_sp|UDB0837795|SH0929106.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp"
24e74d80a14c45a5cf5d90ec5a781cc7	467	957	731	637	591	534	1100	455	23	0	0	773	48	0	51	234	94	98	173	189	314	64	672	22	85	0	0	0	0	11	0	0	0	535	0	0	0	0	44	0	0	18	0	437	1024	2320	699	500	0	0	24e74d80a14c45a5cf5d90ec5a781cc7	100	179	"Neocosmospora_rubicola|KM231800|SH3195171.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neocosmospora;s__Neocosmospora_rubicola"
